sep=;
Nama;Kategori;Harga Beli;Harga Jual;Stok;Stok Minimum;Satuan;SKU;Barcode
Kecap Asin Rasa-6 V294;Bumbu;38012;41641;170;9;ml;BUM-0294;8990000000294
Minyak Goreng 2L Rasa-7 V295;Sembako;38096;41778;223;15;pcs;SEM-0295;8990000000295
Susu UHT Vanila V296;Susu;38180;41915;36;21;kg;SUS-0296;8990000000296
Sikat Gigi Rasa-9 V297;Perawatan;38264;42052;89;2;ml;PER-0297;8990000000297
Tali Rasa-1 V298;Lain-lain;38348;42189;142;8;pcs;LAI-0298;8990000000298
Pemutih Rasa-2 V299;Rumahan;38432;42326;195;14;kg;RUM-0299;8990000000299
Otak-otak Rasa-3 V300;Beku;38516;42463;8;20;ml;BEK-0300;8990000000300
Indomie Goreng V301;Makanan;38600;42600;61;1;pcs;MAK-0301;8990000000301
Teh Kotak Rasa-5 V302;Minuman;38684;42737;114;7;kg;MIN-0302;8990000000302
Biskuit 150g Rasa-6 V303;Snack;42768;42874;167;13;ml;SNA-0303;8990000000303
Kecap Asin Rasa-7 V304;Bumbu;42852;43011;220;19;pcs;BUM-0304;8990000000304
Minyak Goreng 2L Rasa-8 V305;Sembako;42936;43148;33;25;kg;SEM-0305;8990000000305
Susu UHT Vanila V306;Susu;43020;43285;86;6;ml;SUS-0306;8990000000306
Sikat Gigi Rasa-1 V307;Perawatan;43104;43422;139;12;pcs;PER-0307;8990000000307
Tali Rasa-2 V308;Lain-lain;43188;43559;192;18;kg;LAI-0308;8990000000308
Pemutih Rasa-3 V309;Rumahan;43272;43696;5;24;ml;RUM-0309;8990000000309
Otak-otak Rasa-4 V310;Beku;43356;43833;58;5;pcs;BEK-0310;8990000000310
Indomie Goreng V311;Makanan;43440;43970;111;11;kg;MAK-0311;8990000000311
Teh Kotak Rasa-6 V312;Minuman;43524;44107;164;17;ml;MIN-0312;8990000000312
Biskuit 150g Rasa-7 V313;Snack;43608;44244;217;23;pcs;SNA-0313;8990000000313
Kecap Asin Rasa-8 V314;Bumbu;43692;44381;30;4;kg;BUM-0314;8990000000314
Minyak Goreng 2L Rasa-9 V315;Sembako;776;1518;83;10;ml;SEM-0315;8990000000315
Susu UHT Vanila V316;Susu;860;1655;136;16;pcs;SUS-0316;8990000000316
Sikat Gigi Rasa-2 V317;Perawatan;944;1792;189;22;kg;PER-0317;8990000000317
Tali Rasa-3 V318;Lain-lain;1028;1929;2;3;ml;LAI-0318;8990000000318
Pemutih Rasa-4 V319;Rumahan;1112;2066;55;9;pcs;RUM-0319;8990000000319
Otak-otak Rasa-5 V320;Beku;1196;2203;108;15;kg;BEK-0320;8990000000320
Indomie Goreng V321;Makanan;1280;2340;161;21;ml;MAK-0321;8990000000321
Teh Kotak Rasa-7 V322;Minuman;1364;2477;214;2;pcs;MIN-0322;8990000000322
Biskuit 150g Rasa-8 V323;Snack;1448;2614;27;8;kg;SNA-0323;8990000000323
Kecap Asin Rasa-9 V324;Bumbu;1532;2751;80;14;ml;BUM-0324;8990000000324
Minyak Goreng 2L Rasa-1 V325;Sembako;1616;2888;133;20;pcs;SEM-0325;8990000000325
Susu UHT Vanila V326;Susu;1700;3025;186;1;kg;SUS-0326;8990000000326
Sikat Gigi Rasa-3 V327;Perawatan;1784;3162;239;7;ml;PER-0327;8990000000327
Tali Rasa-4 V328;Lain-lain;1868;3299;52;13;pcs;LAI-0328;8990000000328
Pemutih Rasa-5 V329;Rumahan;1952;3436;105;19;kg;RUM-0329;8990000000329
Otak-otak Rasa-6 V330;Beku;2036;3573;158;25;ml;BEK-0330;8990000000330
Indomie Goreng V331;Makanan;2120;3710;211;6;pcs;MAK-0331;8990000000331
Teh Kotak Rasa-8 V332;Minuman;2204;3847;24;12;kg;MIN-0332;8990000000332
Biskuit 150g Rasa-9 V333;Snack;2288;3984;77;18;ml;SNA-0333;8990000000333
Kecap Asin Rasa-1 V334;Bumbu;2372;4121;130;24;pcs;BUM-0334;8990000000334
Minyak Goreng 2L Rasa-2 V335;Sembako;2456;4258;183;5;kg;SEM-0335;8990000000335
Susu UHT Vanila V336;Susu;2540;4395;236;11;ml;SUS-0336;8990000000336
Sikat Gigi Rasa-4 V337;Perawatan;2624;4532;49;17;pcs;PER-0337;8990000000337
Tali Rasa-5 V338;Lain-lain;2708;4669;102;23;kg;LAI-0338;8990000000338
Pemutih Rasa-6 V339;Rumahan;2792;4806;155;4;ml;RUM-0339;8990000000339
Otak-otak Rasa-7 V340;Beku;2876;4943;208;10;pcs;BEK-0340;8990000000340
Indomie Goreng V341;Makanan;2960;5080;21;16;kg;MAK-0341;8990000000341
Teh Kotak Rasa-9 V342;Minuman;3044;5217;74;22;ml;MIN-0342;8990000000342
Biskuit 150g Rasa-1 V343;Snack;3128;5354;127;3;pcs;SNA-0343;8990000000343
Kecap Asin Rasa-2 V344;Bumbu;3212;5491;180;9;kg;BUM-0344;8990000000344
Minyak Goreng 2L Rasa-3 V345;Sembako;3296;5628;233;15;ml;SEM-0345;8990000000345
Susu UHT Vanila V346;Susu;3380;5765;46;21;pcs;SUS-0346;8990000000346
Sikat Gigi Rasa-5 V347;Perawatan;3464;5902;99;2;kg;PER-0347;8990000000347
Tali Rasa-6 V348;Lain-lain;3548;6039;152;8;ml;LAI-0348;8990000000348
Pemutih Rasa-7 V349;Rumahan;3632;6176;205;14;pcs;RUM-0349;8990000000349
Otak-otak Rasa-8 V350;Beku;3716;6313;18;20;kg;BEK-0350;8990000000350
Indomie Goreng V351;Makanan;3800;6450;71;1;ml;MAK-0351;8990000000351
Teh Kotak Rasa-1 V352;Minuman;3884;6587;124;7;pcs;MIN-0352;8990000000352
Biskuit 150g Rasa-2 V353;Snack;3968;6724;177;13;kg;SNA-0353;8990000000353
Kecap Asin Rasa-3 V354;Bumbu;4052;6861;230;19;ml;BUM-0354;8990000000354
Minyak Goreng 2L Rasa-4 V355;Sembako;4136;6998;43;25;pcs;SEM-0355;8990000000355
Susu UHT Vanila V356;Susu;4220;7135;96;6;kg;SUS-0356;8990000000356
Sikat Gigi Rasa-6 V357;Perawatan;4304;7272;149;12;ml;PER-0357;8990000000357
Tali Rasa-7 V358;Lain-lain;4388;7409;202;18;pcs;LAI-0358;8990000000358
Pemutih Rasa-8 V359;Rumahan;4472;7546;15;24;kg;RUM-0359;8990000000359
Otak-otak Rasa-9 V360;Beku;4556;7683;68;5;ml;BEK-0360;8990000000360
Indomie Goreng V361;Makanan;4640;7820;121;11;pcs;MAK-0361;8990000000361
Teh Kotak Rasa-2 V362;Minuman;4724;7957;174;17;kg;MIN-0362;8990000000362
Biskuit 150g Rasa-3 V363;Snack;4808;8094;227;23;ml;SNA-0363;8990000000363
Kecap Asin Rasa-4 V364;Bumbu;4892;8231;40;4;pcs;BUM-0364;8990000000364
Minyak Goreng 2L Rasa-5 V365;Sembako;4976;8368;93;10;kg;SEM-0365;8990000000365
Susu UHT Vanila V366;Susu;5060;8505;146;16;ml;SUS-0366;8990000000366
Sikat Gigi Rasa-7 V367;Perawatan;5144;8642;199;22;pcs;PER-0367;8990000000367
Tali Rasa-8 V368;Lain-lain;5228;8779;12;3;kg;LAI-0368;8990000000368
Pemutih Rasa-9 V369;Rumahan;5312;8916;65;9;ml;RUM-0369;8990000000369
Otak-otak Rasa-1 V370;Beku;5396;9053;118;15;pcs;BEK-0370;8990000000370
Indomie Goreng V371;Makanan;5480;9190;171;21;kg;MAK-0371;8990000000371
Teh Kotak Rasa-3 V372;Minuman;5564;9327;224;2;ml;MIN-0372;8990000000372
Biskuit 150g Rasa-4 V373;Snack;5648;9464;37;8;pcs;SNA-0373;8990000000373
Kecap Asin Rasa-5 V374;Bumbu;5732;9601;90;14;kg;BUM-0374;8990000000374
Minyak Goreng 2L Rasa-6 V375;Sembako;5816;9738;143;20;ml;SEM-0375;8990000000375
Susu UHT Vanila V376;Susu;5900;9875;196;1;pcs;SUS-0376;8990000000376
Sikat Gigi Rasa-8 V377;Perawatan;5984;10012;9;7;kg;PER-0377;8990000000377
Tali Rasa-9 V378;Lain-lain;6068;10149;62;13;ml;LAI-0378;8990000000378
Pemutih Rasa-1 V379;Rumahan;10152;10286;115;19;pcs;RUM-0379;8990000000379
Otak-otak Rasa-2 V380;Beku;10236;10423;168;25;kg;BEK-0380;8990000000380
Indomie Goreng V381;Makanan;10320;10560;221;6;ml;MAK-0381;8990000000381
Teh Kotak Rasa-4 V382;Minuman;10404;10697;34;12;pcs;MIN-0382;8990000000382
Biskuit 150g Rasa-5 V383;Snack;10488;10834;87;18;kg;SNA-0383;8990000000383
Kecap Asin Rasa-6 V384;Bumbu;10572;10971;140;24;ml;BUM-0384;8990000000384
Minyak Goreng 2L Rasa-7 V385;Sembako;10656;11108;193;5;pcs;SEM-0385;8990000000385
Susu UHT Vanila V386;Susu;10740;11245;6;11;kg;SUS-0386;8990000000386
Sikat Gigi Rasa-9 V387;Perawatan;10824;11382;59;17;ml;PER-0387;8990000000387
Tali Rasa-1 V388;Lain-lain;10908;11519;112;23;pcs;LAI-0388;8990000000388
Pemutih Rasa-2 V389;Rumahan;10992;11656;165;4;kg;RUM-0389;8990000000389
Otak-otak Rasa-3 V390;Beku;11076;11793;218;10;ml;BEK-0390;8990000000390
Indomie Goreng V391;Makanan;11160;11930;31;16;pcs;MAK-0391;8990000000391
Teh Kotak Rasa-5 V392;Minuman;11244;12067;84;22;kg;MIN-0392;8990000000392
Biskuit 150g Rasa-6 V393;Snack;11328;12204;137;3;ml;SNA-0393;8990000000393
Kecap Asin Rasa-7 V394;Bumbu;11412;12341;190;9;pcs;BUM-0394;8990000000394
Minyak Goreng 2L Rasa-8 V395;Sembako;11496;12478;3;15;kg;SEM-0395;8990000000395
Susu UHT Vanila V396;Susu;11580;12615;56;21;ml;SUS-0396;8990000000396
Sikat Gigi Rasa-1 V397;Perawatan;11664;12752;109;2;pcs;PER-0397;8990000000397
Tali Rasa-2 V398;Lain-lain;11748;12889;162;8;kg;LAI-0398;8990000000398
Pemutih Rasa-3 V399;Rumahan;11832;13026;215;14;ml;RUM-0399;8990000000399
Otak-otak Rasa-4 V400;Beku;11916;13163;28;20;pcs;BEK-0400;8990000000400
Indomie Goreng V401;Makanan;12000;13300;81;1;kg;MAK-0401;8990000000401
Teh Kotak Rasa-6 V402;Minuman;12084;13437;134;7;ml;MIN-0402;8990000000402
Biskuit 150g Rasa-7 V403;Snack;12168;13574;187;13;pcs;SNA-0403;8990000000403
Kecap Asin Rasa-8 V404;Bumbu;12252;13711;240;19;kg;BUM-0404;8990000000404
Minyak Goreng 2L Rasa-9 V405;Sembako;12336;13848;53;25;ml;SEM-0405;8990000000405
Susu UHT Vanila V406;Susu;12420;13985;106;6;pcs;SUS-0406;8990000000406
Sikat Gigi Rasa-2 V407;Perawatan;12504;14122;159;12;kg;PER-0407;8990000000407
Tali Rasa-3 V408;Lain-lain;12588;14259;212;18;ml;LAI-0408;8990000000408
Pemutih Rasa-4 V409;Rumahan;12672;14396;25;24;pcs;RUM-0409;8990000000409
Otak-otak Rasa-5 V410;Beku;12756;14533;78;5;kg;BEK-0410;8990000000410
Indomie Goreng V411;Makanan;12840;14670;131;11;ml;MAK-0411;8990000000411
Teh Kotak Rasa-7 V412;Minuman;12924;14807;184;17;pcs;MIN-0412;8990000000412
Biskuit 150g Rasa-8 V413;Snack;13008;14944;237;23;kg;SNA-0413;8990000000413
Kecap Asin Rasa-9 V414;Bumbu;13092;15081;50;4;ml;BUM-0414;8990000000414
Minyak Goreng 2L Rasa-1 V415;Sembako;13176;15218;103;10;pcs;SEM-0415;8990000000415
Susu UHT Vanila V416;Susu;13260;15355;156;16;kg;SUS-0416;8990000000416
Sikat Gigi Rasa-3 V417;Perawatan;13344;15492;209;22;ml;PER-0417;8990000000417
Tali Rasa-4 V418;Lain-lain;13428;15629;22;3;pcs;LAI-0418;8990000000418
Pemutih Rasa-5 V419;Rumahan;13512;15766;75;9;kg;RUM-0419;8990000000419
Otak-otak Rasa-6 V420;Beku;13596;15903;128;15;ml;BEK-0420;8990000000420
Indomie Goreng V421;Makanan;13680;16040;181;21;pcs;MAK-0421;8990000000421
Teh Kotak Rasa-8 V422;Minuman;13764;16177;234;2;kg;MIN-0422;8990000000422
Biskuit 150g Rasa-9 V423;Snack;13848;16314;47;8;ml;SNA-0423;8990000000423
Kecap Asin Rasa-1 V424;Bumbu;13932;16451;100;14;pcs;BUM-0424;8990000000424
Minyak Goreng 2L Rasa-2 V425;Sembako;14016;16588;153;20;kg;SEM-0425;8990000000425
Susu UHT Vanila V426;Susu;14100;16725;206;1;ml;SUS-0426;8990000000426
Sikat Gigi Rasa-4 V427;Perawatan;14184;16862;19;7;pcs;PER-0427;8990000000427
Tali Rasa-5 V428;Lain-lain;14268;16999;72;13;kg;LAI-0428;8990000000428
Pemutih Rasa-6 V429;Rumahan;14352;17136;125;19;ml;RUM-0429;8990000000429
Otak-otak Rasa-7 V430;Beku;14436;17273;178;25;pcs;BEK-0430;8990000000430
Indomie Goreng V431;Makanan;14520;17410;231;6;kg;MAK-0431;8990000000431
Teh Kotak Rasa-9 V432;Minuman;14604;17547;44;12;ml;MIN-0432;8990000000432
Biskuit 150g Rasa-1 V433;Snack;14688;17684;97;18;pcs;SNA-0433;8990000000433
Kecap Asin Rasa-2 V434;Bumbu;14772;17821;150;24;kg;BUM-0434;8990000000434
Minyak Goreng 2L Rasa-3 V435;Sembako;14856;17958;203;5;ml;SEM-0435;8990000000435
Susu UHT Vanila V436;Susu;14940;18095;16;11;pcs;SUS-0436;8990000000436
Sikat Gigi Rasa-5 V437;Perawatan;15024;18232;69;17;kg;PER-0437;8990000000437
Tali Rasa-6 V438;Lain-lain;15108;18369;122;23;ml;LAI-0438;8990000000438
Pemutih Rasa-7 V439;Rumahan;15192;18506;175;4;pcs;RUM-0439;8990000000439
Otak-otak Rasa-8 V440;Beku;15276;18643;228;10;kg;BEK-0440;8990000000440
Indomie Goreng V441;Makanan;15360;18780;41;16;ml;MAK-0441;8990000000441
Teh Kotak Rasa-1 V442;Minuman;15444;18917;94;22;pcs;MIN-0442;8990000000442
Biskuit 150g Rasa-2 V443;Snack;15528;19054;147;3;kg;SNA-0443;8990000000443
Kecap Asin Rasa-3 V444;Bumbu;15612;19191;200;9;ml;BUM-0444;8990000000444
Minyak Goreng 2L Rasa-4 V445;Sembako;15696;19328;13;15;pcs;SEM-0445;8990000000445
Susu UHT Vanila V446;Susu;15780;19465;66;21;kg;SUS-0446;8990000000446
Sikat Gigi Rasa-6 V447;Perawatan;15864;19602;119;2;ml;PER-0447;8990000000447
Tali Rasa-7 V448;Lain-lain;15948;19739;172;8;pcs;LAI-0448;8990000000448
Pemutih Rasa-8 V449;Rumahan;16032;19876;225;14;kg;RUM-0449;8990000000449
Otak-otak Rasa-9 V450;Beku;16116;20013;38;20;ml;BEK-0450;8990000000450
Indomie Goreng V451;Makanan;16200;20150;91;1;pcs;MAK-0451;8990000000451
Teh Kotak Rasa-2 V452;Minuman;16284;20287;144;7;kg;MIN-0452;8990000000452
Biskuit 150g Rasa-3 V453;Snack;16368;20424;197;13;ml;SNA-0453;8990000000453
Kecap Asin Rasa-4 V454;Bumbu;20452;20561;10;19;pcs;BUM-0454;8990000000454
Minyak Goreng 2L Rasa-5 V455;Sembako;20536;20698;63;25;kg;SEM-0455;8990000000455
Susu UHT Vanila V456;Susu;20620;20835;116;6;ml;SUS-0456;8990000000456
Sikat Gigi Rasa-7 V457;Perawatan;20704;20972;169;12;pcs;PER-0457;8990000000457
Tali Rasa-8 V458;Lain-lain;20788;21109;222;18;kg;LAI-0458;8990000000458
Pemutih Rasa-9 V459;Rumahan;20872;21246;35;24;ml;RUM-0459;8990000000459
Otak-otak Rasa-1 V460;Beku;20956;21383;88;5;pcs;BEK-0460;8990000000460
Indomie Goreng V461;Makanan;21040;21520;141;11;kg;MAK-0461;8990000000461
Teh Kotak Rasa-3 V462;Minuman;21124;21657;194;17;ml;MIN-0462;8990000000462
Biskuit 150g Rasa-4 V463;Snack;21208;21794;7;23;pcs;SNA-0463;8990000000463
Kecap Asin Rasa-5 V464;Bumbu;21292;21931;60;4;kg;BUM-0464;8990000000464
Minyak Goreng 2L Rasa-6 V465;Sembako;21376;22068;113;10;ml;SEM-0465;8990000000465
Susu UHT Vanila V466;Susu;21460;22205;166;16;pcs;SUS-0466;8990000000466
Sikat Gigi Rasa-8 V467;Perawatan;21544;22342;219;22;kg;PER-0467;8990000000467
Tali Rasa-9 V468;Lain-lain;21628;22479;32;3;ml;LAI-0468;8990000000468
Pemutih Rasa-1 V469;Rumahan;21712;22616;85;9;pcs;RUM-0469;8990000000469
Otak-otak Rasa-2 V470;Beku;21796;22753;138;15;kg;BEK-0470;8990000000470
Indomie Goreng V471;Makanan;21880;22890;191;21;ml;MAK-0471;8990000000471
Teh Kotak Rasa-4 V472;Minuman;21964;23027;4;2;pcs;MIN-0472;8990000000472
Biskuit 150g Rasa-5 V473;Snack;22048;23164;57;8;kg;SNA-0473;8990000000473
Kecap Asin Rasa-6 V474;Bumbu;22132;23301;110;14;ml;BUM-0474;8990000000474
Minyak Goreng 2L Rasa-7 V475;Sembako;22216;23438;163;20;pcs;SEM-0475;8990000000475
Susu UHT Vanila V476;Susu;22300;23575;216;1;kg;SUS-0476;8990000000476
Sikat Gigi Rasa-9 V477;Perawatan;22384;23712;29;7;ml;PER-0477;8990000000477
Tali Rasa-1 V478;Lain-lain;22468;23849;82;13;pcs;LAI-0478;8990000000478
Pemutih Rasa-2 V479;Rumahan;22552;23986;135;19;kg;RUM-0479;8990000000479
Otak-otak Rasa-3 V480;Beku;22636;24123;188;25;ml;BEK-0480;8990000000480
Indomie Goreng V481;Makanan;22720;24260;1;6;pcs;MAK-0481;8990000000481
Teh Kotak Rasa-5 V482;Minuman;22804;24397;54;12;kg;MIN-0482;8990000000482
Biskuit 150g Rasa-6 V483;Snack;22888;24534;107;18;ml;SNA-0483;8990000000483
Kecap Asin Rasa-7 V484;Bumbu;22972;24671;160;24;pcs;BUM-0484;8990000000484
Minyak Goreng 2L Rasa-8 V485;Sembako;23056;24808;213;5;kg;SEM-0485;8990000000485
Susu UHT Vanila V486;Susu;23140;24945;26;11;ml;SUS-0486;8990000000486
Sikat Gigi Rasa-1 V487;Perawatan;23224;25082;79;17;pcs;PER-0487;8990000000487
Tali Rasa-2 V488;Lain-lain;23308;25219;132;23;kg;LAI-0488;8990000000488
Pemutih Rasa-3 V489;Rumahan;23392;25356;185;4;ml;RUM-0489;8990000000489
Otak-otak Rasa-4 V490;Beku;23476;25493;238;10;pcs;BEK-0490;8990000000490
Indomie Goreng V491;Makanan;23560;25630;51;16;kg;MAK-0491;8990000000491
Teh Kotak Rasa-6 V492;Minuman;23644;25767;104;22;ml;MIN-0492;8990000000492
Biskuit 150g Rasa-7 V493;Snack;23728;25904;157;3;pcs;SNA-0493;8990000000493
Kecap Asin Rasa-8 V494;Bumbu;23812;26041;210;9;kg;BUM-0494;8990000000494
Minyak Goreng 2L Rasa-9 V495;Sembako;23896;26178;23;15;ml;SEM-0495;8990000000495
Susu UHT Vanila V496;Susu;23980;26315;76;21;pcs;SUS-0496;8990000000496
Sikat Gigi Rasa-2 V497;Perawatan;24064;26452;129;2;kg;PER-0497;8990000000497
Tali Rasa-3 V498;Lain-lain;24148;26589;182;8;ml;LAI-0498;8990000000498
Pemutih Rasa-4 V499;Rumahan;24232;26726;235;14;pcs;RUM-0499;8990000000499
Otak-otak Rasa-5 V500;Beku;24316;26863;48;20;kg;BEK-0500;8990000000500
Indomie Goreng V501;Makanan;24400;27000;101;1;ml;MAK-0501;8990000000501
Teh Kotak Rasa-7 V502;Minuman;24484;27137;154;7;pcs;MIN-0502;8990000000502
Biskuit 150g Rasa-8 V503;Snack;24568;27274;207;13;kg;SNA-0503;8990000000503
Kecap Asin Rasa-9 V504;Bumbu;24652;27411;20;19;ml;BUM-0504;8990000000504
Minyak Goreng 2L Rasa-1 V505;Sembako;24736;27548;73;25;pcs;SEM-0505;8990000000505
Susu UHT Vanila V506;Susu;24820;27685;126;6;kg;SUS-0506;8990000000506
Sikat Gigi Rasa-3 V507;Perawatan;24904;27822;179;12;ml;PER-0507;8990000000507
Tali Rasa-4 V508;Lain-lain;24988;27959;232;18;pcs;LAI-0508;8990000000508
Pemutih Rasa-5 V509;Rumahan;25072;28096;45;24;kg;RUM-0509;8990000000509
Otak-otak Rasa-6 V510;Beku;25156;28233;98;5;ml;BEK-0510;8990000000510
Indomie Goreng V511;Makanan;25240;28370;151;11;pcs;MAK-0511;8990000000511
Teh Kotak Rasa-8 V512;Minuman;25324;28507;204;17;kg;MIN-0512;8990000000512
Biskuit 150g Rasa-9 V513;Snack;25408;28644;17;23;ml;SNA-0513;8990000000513
Kecap Asin Rasa-1 V514;Bumbu;25492;28781;70;4;pcs;BUM-0514;8990000000514
Minyak Goreng 2L Rasa-2 V515;Sembako;25576;28918;123;10;kg;SEM-0515;8990000000515
Susu UHT Vanila V516;Susu;25660;29055;176;16;ml;SUS-0516;8990000000516
Sikat Gigi Rasa-4 V517;Perawatan;25744;29192;229;22;pcs;PER-0517;8990000000517
Tali Rasa-5 V518;Lain-lain;25828;29329;42;3;kg;LAI-0518;8990000000518
Pemutih Rasa-6 V519;Rumahan;25912;29466;95;9;ml;RUM-0519;8990000000519
Otak-otak Rasa-7 V520;Beku;25996;29603;148;15;pcs;BEK-0520;8990000000520
Indomie Goreng V521;Makanan;26080;29740;201;21;kg;MAK-0521;8990000000521
Teh Kotak Rasa-9 V522;Minuman;26164;29877;14;2;ml;MIN-0522;8990000000522
Biskuit 150g Rasa-1 V523;Snack;26248;30014;67;8;pcs;SNA-0523;8990000000523
Kecap Asin Rasa-2 V524;Bumbu;26332;30151;120;14;kg;BUM-0524;8990000000524
Minyak Goreng 2L Rasa-3 V525;Sembako;26416;30288;173;20;ml;SEM-0525;8990000000525
Susu UHT Vanila V526;Susu;26500;30425;226;1;pcs;SUS-0526;8990000000526
Sikat Gigi Rasa-5 V527;Perawatan;26584;30562;39;7;kg;PER-0527;8990000000527
Tali Rasa-6 V528;Lain-lain;26668;30699;92;13;ml;LAI-0528;8990000000528
Pemutih Rasa-7 V529;Rumahan;26752;30836;145;19;pcs;RUM-0529;8990000000529
Otak-otak Rasa-8 V530;Beku;30836;30973;198;25;kg;BEK-0530;8990000000530
Indomie Goreng V531;Makanan;30920;31110;11;6;ml;MAK-0531;8990000000531
Teh Kotak Rasa-1 V532;Minuman;31004;31247;64;12;pcs;MIN-0532;8990000000532
Biskuit 150g Rasa-2 V533;Snack;31088;31384;117;18;kg;SNA-0533;8990000000533
Kecap Asin Rasa-3 V534;Bumbu;31172;31521;170;24;ml;BUM-0534;8990000000534
Minyak Goreng 2L Rasa-4 V535;Sembako;31256;31658;223;5;pcs;SEM-0535;8990000000535
Susu UHT Vanila V536;Susu;31340;31795;36;11;kg;SUS-0536;8990000000536
Sikat Gigi Rasa-6 V537;Perawatan;31424;31932;89;17;ml;PER-0537;8990000000537
Tali Rasa-7 V538;Lain-lain;31508;32069;142;23;pcs;LAI-0538;8990000000538
Pemutih Rasa-8 V539;Rumahan;31592;32206;195;4;kg;RUM-0539;8990000000539
Otak-otak Rasa-9 V540;Beku;31676;32343;8;10;ml;BEK-0540;8990000000540
Indomie Goreng V541;Makanan;31760;32480;61;16;pcs;MAK-0541;8990000000541
Teh Kotak Rasa-2 V542;Minuman;31844;32617;114;22;kg;MIN-0542;8990000000542
Biskuit 150g Rasa-3 V543;Snack;31928;32754;167;3;ml;SNA-0543;8990000000543
Kecap Asin Rasa-4 V544;Bumbu;32012;32891;220;9;pcs;BUM-0544;8990000000544
Minyak Goreng 2L Rasa-5 V545;Sembako;32096;33028;33;15;kg;SEM-0545;8990000000545
Susu UHT Vanila V546;Susu;32180;33165;86;21;ml;SUS-0546;8990000000546
Sikat Gigi Rasa-7 V547;Perawatan;32264;33302;139;2;pcs;PER-0547;8990000000547
Tali Rasa-8 V548;Lain-lain;32348;33439;192;8;kg;LAI-0548;8990000000548
Pemutih Rasa-9 V549;Rumahan;32432;33576;5;14;ml;RUM-0549;8990000000549
Otak-otak Rasa-1 V550;Beku;32516;33713;58;20;pcs;BEK-0550;8990000000550
Indomie Goreng V551;Makanan;32600;33850;111;1;kg;MAK-0551;8990000000551
Teh Kotak Rasa-3 V552;Minuman;32684;33987;164;7;ml;MIN-0552;8990000000552
Biskuit 150g Rasa-4 V553;Snack;32768;34124;217;13;pcs;SNA-0553;8990000000553
Kecap Asin Rasa-5 V554;Bumbu;32852;34261;30;19;kg;BUM-0554;8990000000554
Minyak Goreng 2L Rasa-6 V555;Sembako;32936;34398;83;25;ml;SEM-0555;8990000000555
Susu UHT Vanila V556;Susu;33020;34535;136;6;pcs;SUS-0556;8990000000556
Sikat Gigi Rasa-8 V557;Perawatan;33104;34672;189;12;kg;PER-0557;8990000000557
Tali Rasa-9 V558;Lain-lain;33188;34809;2;18;ml;LAI-0558;8990000000558
Pemutih Rasa-1 V559;Rumahan;33272;34946;55;24;pcs;RUM-0559;8990000000559
Otak-otak Rasa-2 V560;Beku;33356;35083;108;5;kg;BEK-0560;8990000000560
Indomie Goreng V561;Makanan;33440;35220;161;11;ml;MAK-0561;8990000000561
Teh Kotak Rasa-4 V562;Minuman;33524;35357;214;17;pcs;MIN-0562;8990000000562
Biskuit 150g Rasa-5 V563;Snack;33608;35494;27;23;kg;SNA-0563;8990000000563
Kecap Asin Rasa-6 V564;Bumbu;33692;35631;80;4;ml;BUM-0564;8990000000564
Minyak Goreng 2L Rasa-7 V565;Sembako;33776;35768;133;10;pcs;SEM-0565;8990000000565
Susu UHT Vanila V566;Susu;33860;35905;186;16;kg;SUS-0566;8990000000566
Sikat Gigi Rasa-9 V567;Perawatan;33944;36042;239;22;ml;PER-0567;8990000000567
Tali Rasa-1 V568;Lain-lain;34028;36179;52;3;pcs;LAI-0568;8990000000568
Pemutih Rasa-2 V569;Rumahan;34112;36316;105;9;kg;RUM-0569;8990000000569
Otak-otak Rasa-3 V570;Beku;34196;36453;158;15;ml;BEK-0570;8990000000570
Indomie Goreng V571;Makanan;34280;36590;211;21;pcs;MAK-0571;8990000000571
Teh Kotak Rasa-5 V572;Minuman;34364;36727;24;2;kg;MIN-0572;8990000000572
Biskuit 150g Rasa-6 V573;Snack;34448;36864;77;8;ml;SNA-0573;8990000000573
Kecap Asin Rasa-7 V574;Bumbu;34532;37001;130;14;pcs;BUM-0574;8990000000574
Minyak Goreng 2L Rasa-8 V575;Sembako;34616;37138;183;20;kg;SEM-0575;8990000000575
Susu UHT Vanila V576;Susu;34700;37275;236;1;ml;SUS-0576;8990000000576
Sikat Gigi Rasa-1 V577;Perawatan;34784;37412;49;7;pcs;PER-0577;8990000000577
Tali Rasa-2 V578;Lain-lain;34868;37549;102;13;kg;LAI-0578;8990000000578
Pemutih Rasa-3 V579;Rumahan;34952;37686;155;19;ml;RUM-0579;8990000000579
Otak-otak Rasa-4 V580;Beku;35036;37823;208;25;pcs;BEK-0580;8990000000580
Indomie Goreng V581;Makanan;35120;37960;21;6;kg;MAK-0581;8990000000581
Teh Kotak Rasa-6 V582;Minuman;35204;38097;74;12;ml;MIN-0582;8990000000582
Biskuit 150g Rasa-7 V583;Snack;35288;38234;127;18;pcs;SNA-0583;8990000000583
Kecap Asin Rasa-8 V584;Bumbu;35372;38371;180;24;kg;BUM-0584;8990000000584
Minyak Goreng 2L Rasa-9 V585;Sembako;35456;38508;233;5;ml;SEM-0585;8990000000585
Susu UHT Vanila V586;Susu;35540;38645;46;11;pcs;SUS-0586;8990000000586
Sikat Gigi Rasa-2 V587;Perawatan;35624;38782;99;17;kg;PER-0587;8990000000587
